id,fillKey,bodedgastatus
CAN,gradient,Observed
DEU,gradient,Observed
MEX,gradient,Observed
MAR,gradient,Observed
ESP,gradient,Observed
USA,gradient,Observed
AFG,horizontal-stripe,Not yet observed
ALA,horizontal-stripe,Not yet observed
ALB,horizontal-stripe,Not yet observed
DZA,horizontal-stripe,Not yet observed
ASM,horizontal-stripe,Not yet observed
AND,horizontal-stripe,Not yet observed
AGO,horizontal-stripe,Not yet observed
AIA,horizontal-stripe,Not yet observed
ATA,vertical-stripe,No known bodegas
ATG,horizontal-stripe,Not yet observed
ARG,horizontal-stripe,Not yet observed
ARM,horizontal-stripe,Not yet observed
ABW,horizontal-stripe,Not yet observed
AUS,horizontal-stripe,Not yet observed
AUT,horizontal-stripe,Not yet observed
AZE,horizontal-stripe,Not yet observed
BHS,horizontal-stripe,Not yet observed
BHR,horizontal-stripe,Not yet observed
BGD,horizontal-stripe,Not yet observed
BRB,horizontal-stripe,Not yet observed
BLR,horizontal-stripe,Not yet observed
BEL,horizontal-stripe,Not yet observed
BLZ,horizontal-stripe,Not yet observed
BEN,horizontal-stripe,Not yet observed
BMU,horizontal-stripe,Not yet observed
BTN,horizontal-stripe,Not yet observed
BOL,horizontal-stripe,Not yet observed
BES,horizontal-stripe,Not yet observed
BIH,horizontal-stripe,Not yet observed
BWA,horizontal-stripe,Not yet observed
BVT,horizontal-stripe,Not yet observed
BRA,horizontal-stripe,Not yet observed
IOT,horizontal-stripe,Not yet observed
BRN,horizontal-stripe,Not yet observed
BGR,horizontal-stripe,Not yet observed
BFA,horizontal-stripe,Not yet observed
BDI,horizontal-stripe,Not yet observed
CPV,horizontal-stripe,Not yet observed
KHM,horizontal-stripe,Not yet observed
CMR,horizontal-stripe,Not yet observed
CYM,horizontal-stripe,Not yet observed
CAF,horizontal-stripe,Not yet observed
TCD,horizontal-stripe,Not yet observed
CHL,horizontal-stripe,Not yet observed
CHN,horizontal-stripe,Not yet observed
CXR,horizontal-stripe,Not yet observed
CCK,horizontal-stripe,Not yet observed
COL,horizontal-stripe,Not yet observed
COM,horizontal-stripe,Not yet observed
COG,horizontal-stripe,Not yet observed
COD,horizontal-stripe,Not yet observed
COK,horizontal-stripe,Not yet observed
CRI,horizontal-stripe,Not yet observed
CIV,horizontal-stripe,Not yet observed
HRV,horizontal-stripe,Not yet observed
CUB,horizontal-stripe,Not yet observed
CUW,horizontal-stripe,Not yet observed
CYP,horizontal-stripe,Not yet observed
CZE,horizontal-stripe,Not yet observed
DNK,horizontal-stripe,Not yet observed
DJI,horizontal-stripe,Not yet observed
DMA,horizontal-stripe,Not yet observed
DOM,horizontal-stripe,Not yet observed
ECU,horizontal-stripe,Not yet observed
EGY,horizontal-stripe,Not yet observed
SLV,horizontal-stripe,Not yet observed
GNQ,horizontal-stripe,Not yet observed
ERI,horizontal-stripe,Not yet observed
EST,horizontal-stripe,Not yet observed
SWZ,horizontal-stripe,Not yet observed
ETH,horizontal-stripe,Not yet observed
FLK,horizontal-stripe,Not yet observed
FRO,horizontal-stripe,Not yet observed
FJI,horizontal-stripe,Not yet observed
FIN,horizontal-stripe,Not yet observed
FRA,horizontal-stripe,Not yet observed
GUF,horizontal-stripe,Not yet observed
PYF,horizontal-stripe,Not yet observed
ATF,horizontal-stripe,Not yet observed
GAB,horizontal-stripe,Not yet observed
GMB,horizontal-stripe,Not yet observed
GEO,horizontal-stripe,Not yet observed
GHA,horizontal-stripe,Not yet observed
GIB,horizontal-stripe,Not yet observed
GRC,horizontal-stripe,Not yet observed
GRL,horizontal-stripe,Not yet observed
GRD,horizontal-stripe,Not yet observed
GLP,horizontal-stripe,Not yet observed
GUM,horizontal-stripe,Not yet observed
GTM,horizontal-stripe,Not yet observed
GGY,horizontal-stripe,Not yet observed
GIN,horizontal-stripe,Not yet observed
GNB,horizontal-stripe,Not yet observed
GUY,horizontal-stripe,Not yet observed
HTI,horizontal-stripe,Not yet observed
HMD,horizontal-stripe,Not yet observed
VAT,horizontal-stripe,Not yet observed
HND,horizontal-stripe,Not yet observed
HKG,horizontal-stripe,Not yet observed
HUN,horizontal-stripe,Not yet observed
ISL,horizontal-stripe,Not yet observed
IND,horizontal-stripe,Not yet observed
IDN,horizontal-stripe,Not yet observed
IRN,horizontal-stripe,Not yet observed
IRQ,horizontal-stripe,Not yet observed
IRL,horizontal-stripe,Not yet observed
IMN,horizontal-stripe,Not yet observed
ISR,horizontal-stripe,Not yet observed
ITA,horizontal-stripe,Not yet observed
JAM,horizontal-stripe,Not yet observed
JPN,horizontal-stripe,Not yet observed
JEY,horizontal-stripe,Not yet observed
JOR,horizontal-stripe,Not yet observed
KAZ,horizontal-stripe,Not yet observed
KEN,horizontal-stripe,Not yet observed
KIR,horizontal-stripe,Not yet observed
PRK,horizontal-stripe,Not yet observed
KOR,horizontal-stripe,Not yet observed
KWT,horizontal-stripe,Not yet observed
KGZ,horizontal-stripe,Not yet observed
LAO,horizontal-stripe,Not yet observed
LVA,horizontal-stripe,Not yet observed
LBN,horizontal-stripe,Not yet observed
LSO,horizontal-stripe,Not yet observed
LBR,horizontal-stripe,Not yet observed
LBY,horizontal-stripe,Not yet observed
LIE,horizontal-stripe,Not yet observed
LTU,horizontal-stripe,Not yet observed
LUX,horizontal-stripe,Not yet observed
MAC,horizontal-stripe,Not yet observed
MKD,horizontal-stripe,Not yet observed
MDG,horizontal-stripe,Not yet observed
MWI,horizontal-stripe,Not yet observed
MYS,horizontal-stripe,Not yet observed
MDV,horizontal-stripe,Not yet observed
MLI,horizontal-stripe,Not yet observed
MLT,horizontal-stripe,Not yet observed
MHL,horizontal-stripe,Not yet observed
MTQ,horizontal-stripe,Not yet observed
MRT,horizontal-stripe,Not yet observed
MUS,horizontal-stripe,Not yet observed
MYT,horizontal-stripe,Not yet observed
FSM,horizontal-stripe,Not yet observed
MDA,horizontal-stripe,Not yet observed
MCO,horizontal-stripe,Not yet observed
MNG,horizontal-stripe,Not yet observed
MNE,horizontal-stripe,Not yet observed
MSR,horizontal-stripe,Not yet observed
MOZ,horizontal-stripe,Not yet observed
MMR,horizontal-stripe,Not yet observed
NAM,horizontal-stripe,Not yet observed
NRU,horizontal-stripe,Not yet observed
NPL,horizontal-stripe,Not yet observed
NLD,horizontal-stripe,Not yet observed
NCL,horizontal-stripe,Not yet observed
NZL,horizontal-stripe,Not yet observed
NIC,horizontal-stripe,Not yet observed
NER,horizontal-stripe,Not yet observed
NGA,horizontal-stripe,Not yet observed
NIU,horizontal-stripe,Not yet observed
NFK,horizontal-stripe,Not yet observed
MNP,horizontal-stripe,Not yet observed
NOR,horizontal-stripe,Not yet observed
OMN,horizontal-stripe,Not yet observed
PAK,horizontal-stripe,Not yet observed
PLW,horizontal-stripe,Not yet observed
PSE,horizontal-stripe,Not yet observed
PAN,horizontal-stripe,Not yet observed
PNG,horizontal-stripe,Not yet observed
PRY,horizontal-stripe,Not yet observed
PER,horizontal-stripe,Not yet observed
PHL,horizontal-stripe,Not yet observed
PCN,horizontal-stripe,Not yet observed
POL,horizontal-stripe,Not yet observed
PRT,horizontal-stripe,Not yet observed
PRI,horizontal-stripe,Not yet observed
QAT,horizontal-stripe,Not yet observed
REU,horizontal-stripe,Not yet observed
ROU,horizontal-stripe,Not yet observed
RUS,horizontal-stripe,Not yet observed
RWA,horizontal-stripe,Not yet observed
BLM,horizontal-stripe,Not yet observed
SHN,horizontal-stripe,Not yet observed
KNA,horizontal-stripe,Not yet observed
LCA,horizontal-stripe,Not yet observed
MAF,horizontal-stripe,Not yet observed
SPM,horizontal-stripe,Not yet observed
VCT,horizontal-stripe,Not yet observed
WSM,horizontal-stripe,Not yet observed
SMR,horizontal-stripe,Not yet observed
STP,horizontal-stripe,Not yet observed
SAU,horizontal-stripe,Not yet observed
SEN,horizontal-stripe,Not yet observed
SRB,horizontal-stripe,Not yet observed
SYC,horizontal-stripe,Not yet observed
SLE,horizontal-stripe,Not yet observed
SGP,horizontal-stripe,Not yet observed
SXM,horizontal-stripe,Not yet observed
SVK,horizontal-stripe,Not yet observed
SVN,horizontal-stripe,Not yet observed
SLB,horizontal-stripe,Not yet observed
SOM,horizontal-stripe,Not yet observed
ZAF,horizontal-stripe,Not yet observed
SGS,horizontal-stripe,Not yet observed
SSD,horizontal-stripe,Not yet observed
LKA,horizontal-stripe,Not yet observed
SDN,horizontal-stripe,Not yet observed
SUR,horizontal-stripe,Not yet observed
SJM,horizontal-stripe,Not yet observed
SWE,horizontal-stripe,Not yet observed
CHE,horizontal-stripe,Not yet observed
SYR,horizontal-stripe,Not yet observed
TWN,horizontal-stripe,Not yet observed
TJK,horizontal-stripe,Not yet observed
TZA,horizontal-stripe,Not yet observed
THA,horizontal-stripe,Not yet observed
TLS,horizontal-stripe,Not yet observed
TGO,horizontal-stripe,Not yet observed
TKL,horizontal-stripe,Not yet observed
TON,horizontal-stripe,Not yet observed
TTO,horizontal-stripe,Not yet observed
TUN,horizontal-stripe,Not yet observed
TUR,horizontal-stripe,Not yet observed
TKM,horizontal-stripe,Not yet observed
